NF,VALOR NF,PESO,QTD. BOBINAS,TRANSPORTADOR,MODAL,ORIGEM,DESTINO,UF DEST,CONTÊINER,CUSTO TRANSP.,VLR ADICIONAL,VALOR DO FRETE,ADV,BAF,INFRAEST. PEDAGIO,IMPOSTOS,DATA CARREG
2552024,389989.3,25160.6,45,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU64838962024,14982.72,,14982.72,,,,,2024-07-19
2582024,393123.4,25362.8,46,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRKU36415472024,14986.27,,14986.27,,,,,2024-07-22
2592024,390172.2,25172.4,44,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU32699152024,14982.92,,14982.92,,,,,2024-07-23
2602024,391813.65,25278.3,42,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,HASU49610502024,14984.78,,14984.78,,,,,2024-07-24
2612024,333127.35,24676.1,57,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,OMT32122024,25625.43,,25625.43,,,,,2024-07-26
2622024,300128.09,22231.71,51,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,CSBX7A182024,25737.93,,25737.93,,,,,2024-07-26
2642024,389931.95,25156.9,45,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,TEMU77195162024,15497.48,,15497.48,,,,,2024-07-30
2662024,392345.3,25312.6,45,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU61412812024,14985.4,,14985.4,,,,,2024-08-01
2682024,395546.05,25519.1,45,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,CAAU65478592024,14989.03,,14989.03,,,,,2024-08-01
2692024,393188.5,25367,45,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU26793842024,14986.35,,14986.35,,,,,2024-08-02
2742024,384975.05,24837.1,45,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,TEMU77149832024,15740.810000000001,261.36,15479.45,,,,,2024-08-06
2752024,392339.1,25312.2,47,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,MEDU72679222024,15506.23,,15506.23,,,,,2024-08-06
2762024,394572.65,25456.3,45,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRKU23310592024,14987.92,,14987.92,,,,,2024-08-06
2772024,392480.15,25321.3,43,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MSKU12708342024,14985.55,,14985.55,,,,,2024-08-06
2782024,395786.3,25534.6,45,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,SUDU56041262024,14989.31,,14989.31,,,,,2024-08-07
2792024,397162.7,25623.4,43,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRKU55862382024,14990.86,,14990.86,,,,,2024-08-07
2822024,383045.3,25772.6,50,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,SEKU46134682024,14974.83,,14974.83,,,,,2024-08-12
2842024,389034.5,25099,45,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,HASU43650192024,16999.23,,16999.23,,,,,2024-08-15
2852024,392156.2,25300.4,45,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRKU62190522024,17002.78,,17002.78,,,,,2024-08-15
2872024,372398.9,25060.6,48,MILLY,Rodoviário,Manaus AM,Carazinho,RS, GVTU5034032  2024,24000,,24000,,,,,2024-08-16
2882024,330675.6,22537.4,47,MILLY,Rodoviário,Manaus AM,Carazinho,RS,GVTU50272022024,24000,,24000,,,,,2024-08-16
2892024,330357.85,22783.3,39,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,RODO2024,25728.49,,25728.49,,,,,2024-08-19
2902024,361851.85,24955.3,47,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,RODO2024,25835.86,,25835.86,,,,,2024-08-19
2912024,363845.6,25092.8,42,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,CIPU50090132024,15402.62,,15402.62,,,,,2024-08-21
2922024,362726.2,25015.6,46,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,SEGU41231942024,15398.55,,15398.55,,,,,2024-08-22
2932024,362868.3,25025.4,47,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,TEMU84998902024,15399.07,,15399.07,,,,,2024-08-23
2962024,285122.43,22818.5,59,MILLY,Rodoviário,Manaus AM,Carazinho,RS,GESU60038712024,24000,,24000,,,,,2024-09-02
2972024,357539.55,24657.9,64,MILLY,Rodoviário,Manaus AM,Carazinho,RS,MSKU93970392024,24000,,24000,,,,,2024-09-02
2982024,327028.11,22758.4,49,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,1008,25717.14,,25717.14,,,,,2024-09-03
2992024,343312.2,24202,631,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,1008,25772.66,,25772.66,,,,,2024-09-03
122024,324000,22320,720,MILLY,Rodoviário,Manaus AM,Carazinho,RS,1009,24000,,24000,,,,,2024-09-09
132024,201600,13888,448,MILLY,Rodoviário,Manaus AM,Carazinho,RS,1009,24000,,24000,,,,,2024-09-09
